Date,Open,High,Low,Close,Volume
11/17/2025,"508.45","512.12","504.91","507.49","19,092,750"
11/14/2025,"498.23","511.60","497.44","510.18","28,505,750"
11/13/2025,"510.31","513.50","501.29","503.29","25,273,109"
11/12/2025,"509.36","511.67","499.12","511.14","26,574,850"
11/11/2025,"504.80","509.60","502.35","508.68","17,980,020"
11/10/2025,"500.04","506.85","498.80","506.00","26,101,480"
11/07/2025,"496.95","499.38","493.25","496.82","24,019,760"
11/06/2025,"505.66","505.70","495.81","497.10","27,406,500"
11/05/2025,"513.30","514.83","506.58","507.16","23,024,340"
11/04/2025,"511.76","515.55","507.84","514.33","20,958,660"
11/03/2025,"519.81","524.96","514.59","517.03","22,374,740"
10/31/2025,"528.88","529.32","515.10","517.81","34,006,422"
10/30/2025,"530.48","534.97","522.12","525.76","41,023,090"
10/29/2025,"544.94","546.27","536.73","541.55","36,023,000"
10/28/2025,"550.00","553.72","540.77","542.07","29,986,680"
10/27/2025,"531.78","534.58","529.01","531.52","18,734,721"
10/24/2025,"522.79","525.35","520.71","523.61","15,532,360"
10/23/2025,"522.46","523.95","518.61","520.56","14,023,530"
10/22/2025,"521.15","525.23","517.71","520.54","18,962,689"
10/21/2025,"517.50","518.69","513.04","517.66","15,586,200"
10/20/2025,"514.61","518.70","513.43","516.79","14,665,620"
