Date,Prev Close,Open,High,Low,Last,Close,Volume
03-01-2000,271.75,293.5,293.5,293.5,293.5,293.5,22744
04-01-2000,293.5,317,317,297,304,304.05,255251
05-01-2000,304.05,290,303.9,285,295,292.8,269087
06-01-2000,292.8,301,314,295,296,296.45,305916
07-01-2000,296.45,290,296.35,281,287.1,286.55,197039
10-01-2000,286.55,292,296,285,288.4,287.2,133363
11-01-2000,287.2,290,292,273.25,282.85,283.85,337411
12-01-2000,283.85,287,293,284.5,285.25,285.6,222537
13-01-2000,285.6,288,290.5,283,284,283.85,113238
14-01-2000,283.85,284,294,276.25,291,286.55,152322
17-01-2000,286.55,302,309.5,295,303.5,302.2,500852
18-01-2000,302.2,307,317.85,301.05,305.25,305.75,369304
19-01-2000,305.75,310,315,303.05,304.5,305.25,377937
20-01-2000,305.25,303,306,288,291.9,291.35,208122
21-01-2000,291.35,292,307,290,299.5,299.55,591458
24-01-2000,299.55,306,306,291,294,293.05,207336
25-01-2000,293.05,285,308.95,281,305.5,303.15,512403
27-01-2000,303.15,315.9,316.6,309.9,316.6,316.6,838826
28-01-2000,316.6,328.5,328.9,315,326,324.4,1224604
31-01-2000,324.4,328.7,349.95,320.05,332.5,333.5,1449638
01-02-2000,333.5,337,353.9,335,351.25,350.55,1220141
02-02-2000,350.55,355,357,342,349,351.4,1124774
03-02-2000,351.4,345.55,351.5,338.15,342,341.9,338774
04-02-2000,341.9,342,362.4,341,350,357.2,1393426
07-02-2000,357.2,351,362.5,348.15,355,355.45,834598
08-02-2000,355.45,359,359,345.6,351,350.5,527223
09-02-2000,350.5,354,354,322.5,325,329.15,918950
10-02-2000,329.15,329,329,311.6,321,320.35,406175
11-02-2000,320.35,327,346,313,346,343.65,1361815
14-02-2000,343.65,354,369,345,354,359.15,1457178
15-02-2000,359.15,352.35,353.5,330.45,332,332.6,629569
16-02-2000,332.6,350,354.8,338.1,342.2,341.6,252848
17-02-2000,341.6,336,347,336,339,339.2,120854
18-02-2000,339.2,339,340,325,326.5,327.9,161499
21-02-2000,327.9,329,334,317.05,318,319.15,206189
22-02-2000,319.15,317,319.4,301.2,305,305.95,285365
23-02-2000,305.95,317,330.45,315,330.45,330.45,177171
24-02-2000,330.45,349.85,356,332,354,351.7,385844
25-02-2000,351.7,354,379.85,351.1,379.85,379.85,230532
28-02-2000,379.85,405.5,410.25,380.5,410.25,409.7,643659
29-02-2000,409.7,420,442.5,376.95,395,401.7,1014948
01-03-2000,401.7,405,433.85,400,433.85,433.85,494473
02-03-2000,433.85,456.9,468.6,442,468.6,468.6,542377
03-03-2000,468.6,489,489,431.15,471,473.05,878831
06-03-2000,473.05,479,479,435.25,438.5,443.5,670934
07-03-2000,443.5,447,447,408.05,413.1,412.2,377112
08-03-2000,412.2,415,425,391.05,415,416.7,370922
09-03-2000,416.7,419,419,388.1,397,399.6,167704
10-03-2000,399.6,400,408.9,390.3,395,397.55,181580
13-03-2000,397.55,386.1,406,367,382.55,381.6,225462
14-03-2000,381.6,385,400,367,397,396.65,207168
15-03-2000,396.65,406,406.8,386,400,400.5,118712
