Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
03-01-2000,212.35,220,229.35,220,229.35,229.35,229.13,7086
04-01-2000,229.35,247.7,247.7,225.25,247.7,246.95,244.12,73681
05-01-2000,246.95,229,240,227.2,228,228.4,233.75,105799
06-01-2000,228.4,235.1,239,217,224.95,225.9,226.84,40202
07-01-2000,225.9,213,219,207.85,207.85,208.85,209.94,24463
10-01-2000,208.85,215,219,192.15,192.15,192.15,196.47,12408
11-01-2000,192.15,180.2,180.2,176.8,176.8,176.8,176.98,15253
12-01-2000,176.8,165,169.45,162.7,162.7,162.7,163.34,20558
13-01-2000,162.7,149.7,175.7,149.7,163.35,167.35,163.83,103323
14-01-2000,167.35,169,177,156.15,160.5,159.85,161.69,31522
17-01-2000,159.85,169,170,150.15,151.5,153.5,157.22,27217
18-01-2000,153.5,148.25,158.9,147.3,149.25,149.5,151.56,40099
19-01-2000,149.5,154.5,161.5,154,161.5,161.5,158.69,12701
20-01-2000,161.5,174.45,174.45,174.45,174.45,174.45,174.45,4180
21-01-2000,174.45,188.4,188.45,182.1,188.45,188.45,187.89,39486
24-01-2000,188.45,200,203.55,200,203.55,203.55,203.54,10214
25-01-2000,203.55,214.9,218.9,189.05,199,200.6,202.5,106362
27-01-2000,200.6,194.95,194.95,194.95,194.95,194.95,194.95,3547
28-01-2000,194.95,210.55,210.55,210.55,210.55,210.55,210.55,36765
31-01-2000,210.55,227.4,227.4,219,227.4,227.4,226.2,55785
01-02-2000,227.4,245.45,245.6,211.1,231.75,230.6,231.09,158195
02-02-2000,230.6,245,245,220.55,222,222,227.79,75199
03-02-2000,222,215,218.9,204.25,207.1,207.4,208.07,74420
04-02-2000,207.4,204.25,211,200,203.15,204,204.4,42796
07-02-2000,204,201.55,202.8,190,192.7,191.65,197.02,47503
08-02-2000,191.65,181.05,193,181.05,190,190,187.19,66230
09-02-2000,190,184,190,178.2,178.6,180.05,183.41,63515
10-02-2000,180.05,181,181,168,170.15,172.5,173.39,46478
11-02-2000,172.5,166,174,166,172.9,171.15,170.72,31531
14-02-2000,171.15,170.05,170.5,157.5,157.5,157.5,162.7,34929
15-02-2000,157.5,148,163.7,148,153.9,149.6,154.24,153150
16-02-2000,149.6,155.25,161.6,154,161.6,161.6,160.01,67654
17-02-2000,161.6,165,174.55,164.8,174.55,174.55,173.52,64637
18-02-2000,174.55,184.4,188,162.75,175,174.85,177.4,90931
21-02-2000,174.85,175,178,161,169.7,171.6,168.66,83475
22-02-2000,171.6,175,176,161.5,165,163.2,164.01,101537
23-02-2000,163.2,169,176.25,158,159,160.4,167.57,78128
24-02-2000,160.4,161.1,163,151,154.8,153.85,156.52,32260
25-02-2000,153.85,151.7,155.9,141.55,142.45,143.3,145.07,35794
28-02-2000,143.3,139,146,132.2,146,144.15,137.86,65297
29-02-2000,144.15,142,155.7,135.55,135.7,140.45,149.91,103620
01-03-2000,140.45,145,151.7,142,151.7,151.7,147.54,38073
02-03-2000,151.7,162,163.85,155.5,163.85,163.85,161.76,72557
03-03-2000,163.85,171.9,177,153,175.05,171.25,161,545599
06-03-2000,171.25,177,184.95,174,184.95,184.95,181.69,137483
07-03-2000,184.95,195,199.75,187,199.75,199.75,197.28,161931
08-03-2000,199.75,214.8,215.75,189.05,198,194.8,210.77,359518
09-03-2000,194.8,205,210,179.25,179.25,179.25,183.12,58010
10-03-2000,179.25,165.1,175,164.95,164.95,164.95,167.61,83554
13-03-2000,164.95,165,165,151.75,151.75,151.75,153.67,21700
14-03-2000,151.75,140.1,140.1,139.65,139.65,139.65,139.7,32980
15-03-2000,139.65,144,148,128.6,141.6,144.3,139.7,119746
16-03-2000,144.3,140,144,133,134.05,134.3,138.26,52127
21-03-2000,134.3,129,134.5,123.6,123.6,123.6,125.34,72573
02-07-2001,48,48.05,49.5,48,48,48.05,48.33,5540
03-07-2001,48.05,49.5,49.5,47.5,48,48,47.99,3876
04-07-2001,48,48.5,49,47.75,48.4,48.4,48.13,2468
05-07-2001,48.4,49,49.45,48,48,48.3,48.16,3135
06-07-2001,48.3,48.5,48.5,47,48,48,47.47,5890
09-07-2001,48,47.5,48.5,47,48,47.6,47.77,7109
10-07-2001,47.6,47.05,48,46,46,46.8,47.25,4730
11-07-2001,46.8,49.5,49.5,46,46,46,46.98,3889
12-07-2001,46,46.5,47,46,46,46,46.34,1770
13-07-2001,46,46,47.9,45,45,45,45.68,4000
16-07-2001,45,45,46,44.5,44.5,44.5,44.94,2095
17-07-2001,44.5,44,46,44,45.15,45.15,45.1,4489
18-07-2001,45.15,45,45.45,42.1,44.85,44.9,44.94,3040
19-07-2001,44.9,44.7,45,44.1,44.75,44.55,44.52,3455
20-07-2001,44.55,44,44.95,43.55,43.55,43.6,43.92,2853
23-07-2001,43.6,41.65,44,41.65,44,44,43.89,105
24-07-2001,44,35.5,43.5,35.5,40,39.95,40.47,4706
25-07-2001,39.95,39.75,42.4,38.7,42.4,41.65,40.19,7239
26-07-2001,41.65,42,42.35,40.65,42,42,41.65,3724
27-07-2001,42,41.95,42.5,41.1,42.4,42.3,41.99,4703
30-07-2001,42.3,40.1,42.25,40.1,42.25,41.45,40.64,3392
31-07-2001,41.45,41.05,42.5,41.05,42.05,42,41.92,2776
01-08-2001,42,42.05,43,42,42.95,42.45,42.23,4485
02-08-2001,42.45,42.1,42.5,41.5,42.5,42.2,42.03,1867
03-08-2001,42.2,43,43.15,42,43,43.05,42.83,4668
06-08-2001,43.05,43,43.25,43,43,43,43,101101
07-08-2001,43,43,43.5,42.5,42.85,42.8,42.95,6326
08-08-2001,42.8,43.1,43.75,42.6,43.3,43.2,43,2770
